|   id |      x |      y |  size |
|  130 | -19.75 |   6.25 | 0.024 |
|  131 | -19.75 |   6.75 | 0.024 |
|  132 | -19.75 |   7.25 | 0.024 |
|  133 | -19.75 |   7.75 | 0.024 |
|  134 | -19.75 |   8.25 | 0.024 |
|  135 | -19.75 |   8.75 | 0.024 |
|  136 | -19.75 |   9.25 | 0.024 |
|  137 | -19.25 | -10.25 | 0.024 |
|  138 | -19.25 |  -9.75 | 0.024 |
|  139 | -19.25 |  -9.25 | 0.024 |
|  140 | -19.25 |  -8.75 | 0.024 |
|  141 | -19.25 |  -8.25 | 0.024 |
|  142 | -19.25 |  -7.75 | 0.024 |
|  143 | -19.25 |  -7.25 | 0.024 |
|  144 | -19.25 |  -6.75 | 0.024 |
|  145 | -19.25 |  -6.25 | 0.024 |
|  146 | -19.25 |  -5.75 | 0.024 |
|  147 | -19.25 |  -5.25 | 0.024 |
|  148 | -19.25 |  -4.75 | 0.024 |
|  149 | -19.25 |  -4.25 | 0.024 |
|  150 | -19.25 |  -3.75 | 0.024 |
|  151 | -19.25 |  -3.25 | 0.024 |
|  152 | -19.25 |  -2.75 | 0.024 |
|  153 | -19.25 |  -2.25 | 0.024 |
|  154 | -19.25 |  -1.75 | 0.024 |
|  155 | -19.25 |  -1.25 | 0.024 |
|  156 | -19.25 |  -0.75 | 0.024 |
|  157 | -19.25 |  -0.25 | 0.024 |
|  158 | -19.25 |   0.25 | 0.024 |
|  159 | -19.25 |   0.75 | 0.024 |
|  160 | -19.25 |   1.25 | 0.024 |
|  161 | -19.25 |   1.75 | 0.024 |
|  162 | -19.25 |   2.25 | 0.024 |
|  163 | -19.25 |   2.75 | 0.024 |
|  164 | -19.25 |   3.25 | 0.024 |
|  165 | -19.25 |   3.75 | 0.024 |
|  166 | -19.25 |   4.25 | 0.024 |
|  167 | -19.25 |   4.75 | 0.024 |
|  168 | -19.25 |   5.25 | 0.024 |
|  169 | -19.25 |   5.75 | 0.024 |
|  170 | -19.25 |   6.25 | 0.024 |
|  171 | -19.25 |   6.75 | 0.024 |
|  172 | -19.25 |   7.25 | 0.024 |
|  173 | -19.25 |   7.75 | 0.024 |
|  174 | -19.25 |   8.25 | 0.024 |
|  175 | -19.25 |   8.75 | 0.024 |
|  176 | -19.25 |   9.25 | 0.024 |
|  177 | -19.25 |   9.75 | 0.024 |
|  178 | -19.25 |  10.25 | 0.024 |
|  179 | -18.75 | -11.25 | 0.024 |
|  180 | -18.75 | -10.75 | 0.024 |
|  181 | -18.75 | -10.25 | 0.024 |
|  182 | -18.75 |  -9.75 | 0.024 |
|  183 | -18.75 |  -9.25 | 0.024 |
|  184 | -18.75 |  -8.75 | 0.024 |
|  185 | -18.75 |  -8.25 | 0.024 |
|  186 | -18.75 |  -7.75 | 0.024 |
|  187 | -18.75 |  -7.25 | 0.024 |
|  188 | -18.75 |  -6.75 | 0.024 |
|  189 | -18.75 |  -6.25 | 0.024 |
|  190 | -18.75 |  -5.75 | 0.024 |
|  191 | -18.75 |  -5.25 | 0.024 |
|  192 | -18.75 |  -4.75 | 0.024 |
|  193 | -18.75 |  -4.25 | 0.024 |
|  194 | -18.75 |  -3.75 | 0.024 |
|  195 | -18.75 |  -3.25 | 0.024 |
